dataset_id,dataset_name,rows_raw,features_raw,classes_raw,rows_used,features_encoded,features_final,classes_final,samples_per_class,train_rows,test_rows,pca_var_sum,pca_var_first,merged_count_c0,merged_count_c1,merged_count_c2,merged_count_c3
1,1,898,38,5,192,67,4,4,48,134,58,0.3523603677749634,0.11894331872463226,684,99,67,48
18,18,2000,6,10,384,6,4,4,96,268,116,0.993191123008728,0.6604364514350891,600,600,400,400
21,21,1728,6,4,260,21,4,4,65,182,78,0.37997812032699585,0.11227472871541977,1210,384,69,65
35,dermatology,366,34,6,288,34,4,4,72,201,87,0.5866087675094604,0.27086716890335083,112,72,81,101
39,ecoli,336,7,8,228,7,4,4,57,159,69,0.8200833201408386,0.2957042455673218,143,77,59,57
54,vehicle,846,18,4,384,18,4,4,96,268,116,0.8656509518623352,0.5252928137779236,218,217,212,199
173,173,323,12,6,292,20,4,4,73,204,88,0.4708806574344635,0.17517437040805817,88,76,86,73
174,174,1066,12,6,384,19,4,4,96,268,116,0.5062533617019653,0.19128884375095367,331,239,254,242
181,yeast,1484,8,10,384,8,4,4,96,268,116,0.6422402858734131,0.23311719298362732,463,429,299,293
188,eucalyptus,736,19,5,384,80,4,4,96,268,116,0.295930415391922,0.09066064655780792,214,180,130,212
209,quake,2178,3,12,384,3,4,4,96,268,116,1.0,0.39227554202079773,691,518,484,485
307,307,990,12,11,384,27,4,4,96,268,116,0.3974662721157074,0.1608090102672577,270,270,270,180
452,analcatdatabroadwaymult,285,7,7,220,27,4,4,55,154,66,0.32357558608055115,0.10757225006818771,118,55,55,57
458,analcatdataauthorship,841,70,4,220,70,4,4,55,154,66,0.40724849700927734,0.1512051522731781,317,296,173,55
